"","Gene","Value","Rank","Label"
"310","FABP7",0.130972310910165,310,NA
"311","SEPTIN6",0.131062608816981,311,NA
"312","MSTO1",0.133134258666223,312,NA
"313","ARSD",0.134539428144801,313,NA
"314","BICD1",0.135649793235628,314,NA
"315","HUWE1",0.138222264612867,315,NA
"316","PAK3",0.138610990800361,316,NA
"317","PDK3",0.140466363088203,317,NA
"318","SLC25A25",0.145882433892814,318,NA
"319","MOB2",0.147083546956123,319,NA
"320","TRAF2",0.148092819268833,320,NA
"321","ECHDC3",0.149041397760207,321,NA
"322","SSU72",0.149575736751687,322,NA
"323","MRPS28",0.151653601587589,323,NA
"324","MID1",0.151698098211659,324,NA
"325","GLUD2",0.152224713311749,325,NA
"326","UBA1",0.15643089971265,326,NA
"327","L1CAM",0.157247898197933,327,NA
"328","DUSP3",0.159273411583658,328,NA
"329","CDKL5",0.159289051722088,329,NA
"330","MRPS36",0.160757368628942,330,NA
"331","PBDC1",0.161639369001663,331,NA
"332","IDS",0.162094298539555,332,NA
"333","LSM4",0.163767686165232,333,NA
"334","ADI1",0.163910304512235,334,NA
"335","RRAGB",0.164225422339038,335,NA
"336","TCEAL3",0.164631409910308,336,NA
"337","FABP5",0.165194004975759,337,NA
"338","POLRMT",0.167267917837415,338,NA
"339","FGGY",0.168349031028627,339,NA
"340","MGAT5",0.174095070322162,340,NA
"341","MCTS1",0.175747087700332,341,NA
"342","TBL3",0.177095475872334,342,NA
"343","EIF4ENIF1",0.17739568123386,343,NA
"344","MX2",0.178002019505503,344,NA
"345","ADGRG2",0.180312099005805,345,NA
"346","TXN2",0.184180079747781,346,NA
"347","CFAP20",0.186916850717224,347,NA
"348","CCDC22",0.187475948642072,348,NA
"349","GALNT17",0.195216827455385,349,NA
"350","WDR44",0.19527133779807,350,NA
"351","STARD10",0.201653795716844,351,NA
"352","PCYT1B",0.201832901896562,352,NA
"353","SLC9A7",0.201890975061379,353,NA
"354","MRPL51",0.202008162862543,354,NA
"355","PDHA1",0.202212553357991,355,NA
"356","ARMCX1",0.204719265819518,356,NA
"357","MAP1B",0.205002966813399,357,NA
"358","ARHGEF11",0.205570886190148,358,NA
"359","STS",0.206751987903078,359,NA
"360","NSDHL",0.207202487824542,360,NA
"361","COX5B",0.207685492644649,361,NA
"362","PET100",0.209306733775274,362,NA
"363","NUDT2",0.223092566316438,363,NA
"364","TTLL12",0.226274774915789,364,NA
"365","HAX1",0.226404282668938,365,NA
"366","NEDD4L",0.226684764116692,366,NA
"367","NDUFB11",0.226784102751252,367,NA
"368","IGBP1",0.229794335424509,368,NA
"369","DHCR7",0.238975941366941,369,NA
"370","ARMCX2",0.240783465590016,370,NA
"371","WBP2",0.24120610510714,371,NA
"372","CD99L2",0.245219623051116,372,NA
"373","PREP",0.247846279433145,373,NA
"374","PJA1",0.25484644426347,374,NA
"375","GFOD2",0.255824254437113,375,NA
"376","RETREG1",0.258948988067231,376,NA
"377","WASF1",0.269784247412804,377,NA
"378","FRMD7",0.275193956294121,378,NA
"379","NUDT10",0.278822546471982,379,NA
"380","SYNM",0.283028594156765,380,NA
"381","FGF13",0.286663627152673,381,NA
"382","HMCES",0.287697946961619,382,NA
"383","BAG3",0.28922288878218,383,NA
"384","IQSEC2",0.29405053004087,384,NA
"385","PGK1",0.303844996480671,385,NA
"386","PCSK1N",0.305464936083257,386,NA
"387","BNIP3",0.310334339483431,387,NA
"388","LANCL3",0.327178917696235,388,NA
"389","FGFBP3",0.330814161339001,389,NA
"390","RGN",0.334380787657623,390,NA
"391","MAP7D2",0.336450521581565,391,NA
"392","REPS2",0.337033979293445,392,NA
"393","TSPAN7",0.338535736878287,393,NA
"394","UBQLN2",0.343135842536541,394,NA
"395","PSAT1",0.384534979641958,395,NA
"396","MID1IP1",0.390171537329111,396,NA
"397","MINK1",0.406605293707824,397,NA
"398","CNKSR2",0.415175938778565,398,NA
"399","DYNLRB1",0.44217249703761,399,NA
"400","RGS3",0.475722785943886,400,NA
"401","SYP",0.478794966790067,401,NA
"402","EPB41L1",0.501507692412721,402,NA
